stage,date1,date,sx.e,e.ti,e.tx,ti.lr,ti.mr,ti.r,r.dis,dis.i,r.state
710,4/1/2007,5,33,0,0,0,20,20,0,0,369
710,10/11/2007,5,0,0,37,0,0,37,0,13,157
710,12/10/2007,5,16,0,5,0,30,0,30,5,118
720,12/11/2007,5,0,11,12,0,20,20,7,113,0
730,1/1/2008,5,9,0,0,0,0,104,0,0,20
710,1/9/2008,5,14,0,5,48,48,48,0,21,36
730,NA,5,0,0,6,199,199,199,3,1,29
730,NA,5,0,0,22,1,0,0,13,1,69
720,2/1/2008,5,49,0,6,5,5,5,0,0,27
710,2/11/2008,20,66,0,6,4,5,5,2,4,56
710,2/19/2008,20,55,0,7,0,0,0,9,0,57
730,3/1/2008,20,32,0,7,5,8,5,0,3,15
730,3/1/2008,20,73,0,3,6,6,6,0,0,8
720,3/4/2008,5,7,2,10,0,5,0,0,28,40
730,3/30/2008,20,11,0,19,0,0,0,0,0,61
710,4/2/2008,20,16,0,12,9,11,11,0,0,49
730,4/15/2008,20,28,0,3,6,6,6,0,0,8
720,4/21/2008,20,8,0,9,13,10,10,0,0,18
730,5/1/2008,20,12,0,3,6,6,6,1,0,8
720,5/6/2008,20,7,0,1,2,2,2,0,0,26
730,NA,20,0,0,3,6,6,6,1,0,8
730,NA,20,0,0,3,6,6,6,0,0,22
730,NA,20,0,0,3,6,6,6,0,0,8
730,NA,20,0,0,9,5,5,5,3,1,29
730,NA,20,0,0,13,5,5,5,3,0,29
